Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
UNM MIMBRES SCHOOL,New Mexico,NM,3500016,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,Prekindergarten,12th Grade,41,4,10.25
UP ACADEMY CHARTER SCHOOL OF BOSTON (DISTRICT),Massachusetts,MA,2500533,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,349,35.25,9.9
UP ACADEMY CHARTER SCHOOL OF DORCHESTER (DISTRICT),Massachusetts,MA,2500549,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,685,45.7,14.99
UP-ISLAND REGIONAL,Massachusetts,MA,2500043,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,398,49.97,7.96
UPGRADE MEDIA ARTS SCHOOLS AGENCY,WISCONSIN,WI,5500091,,0,7-Independent Charter District,7-Future,–,–,†,†,†
UPLAND UNIFIED,California,CA,0600016,,14,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,10228,442.91,23.09
UPLIFT EDUCATION,Texas,TX,4800030,,42,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,21521,1369.08,15.72
UPLIFT MICHIGAN ACADEMY,MICHIGAN,MI,2601120,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,447,14.5,30.83
UPPER ADAMS SD,Pennsylvania,PA,4224300,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1649,122.45,13.47
UPPER ARLINGTON CITY,Ohio,OH,3904493,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6107,302.46,20.19
UPPER BUCKS COUNTY TECHNICAL SCHOOL,Pennsylvania,PA,4280110,,1,9-Specialized public school district,1-Open,9th Grade,12th Grade,18,25,0.72
UPPER CAPE COD REGIONAL VOCATIONAL TECHNICAL,Massachusetts,MA,2511800,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,722,71.67,10.07
UPPER CARMEN PUBLIC CHARTER SCHOOL INC.,Idaho,ID,1600170,,1,7-Independent Charter District,1-Open,Kindergarten,3rd Grade,53,3.49,15.19
UPPER DARBY SD,Pennsylvania,PA,4224320,,14,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,12420,821.63,15.12
UPPER DAUPHIN AREA SD,Pennsylvania,PA,4224360,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1051,71.18,14.77
UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3416530,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,820,83.23,9.85
UPPER DUBLIN SD,Pennsylvania,PA,4224390,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3955,313.78,12.6
UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,New Jersey,NJ,3416560,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2144,175.33,12.23
UPPER LAKE UNIFIED,CALIFORNIA,CA,0601442,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,852,41.05,20.76
UPPER MERION AREA SD,Pennsylvania,PA,4224480,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,4223,337,12.53
UPPER MISSISSIPPI ACADEMY,Minnesota,MN,2700376,,2,7-Independent Charter District,1-Open,6th Grade,12th Grade,287,29.11,9.86
UPPER MORELAND TOWNSHIP SD,Pennsylvania,PA,4224510,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3197,215.2,14.86
UPPER PERKIOMEN SD,Pennsylvania,PA,4224540,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3230,210,15.38
UPPER PITTSGROVE TWP SCHOOL DISTRICT,New Jersey,NJ,3416590,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,303,33.3,9.1
UPPER RIO GRANDE SCHOOL DISTRICT C-7,Colorado,CO,0803300,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,382,32.58,11.72
UPPER SADDLE RIVER SCHOOL DISTRICT,New Jersey,NJ,3416620,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,1107,110.63,10.01
UPPER SAINT CLAIR SD,Pennsylvania,PA,4224570,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,4028,273.7,14.72
UPPER SANDUSKY EXEMPTED VILLAGE,Ohio,OH,3910024,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1577,87.6,18
UPPER SCIOTO VALLEY LOCAL,Ohio,OH,3904752,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,424,34.65,12.24
UPPER TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3416650,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,1355,119,11.39
UPPER VALLEY CAREER CENTER,Ohio,OH,3906212,,1,4-Regional Education Service Agency (RESA),1-Open,7th Grade,12th Grade,0,88,0.00
UPPER VALLEY SPECIAL ED UNIT,North Dakota,ND,3880540,,0,4-Regional Education Service Agency (RESA),1-Open,†,†,0,0.00,†
UPPER WEST SHORE ELEM,Montana,MT,3015900,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,6th Grade,63,5.5,11.45
UPROAR LEADERSHIP ACADEMY,NORTH CAROLINA,NC,3700416,,1,7-Independent Charter District,1-Open,5th Grade,11th Grade,137,8.94,15.32
UPSALA PUBLIC SCHOOL DISTRICT,Minnesota,MN,2740860,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,367,29.51,12.44
UPSHUR COUNTY SCHOOLS,West Virginia,WV,5401470,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3705,244,15.18
UPTON PUBLIC SCHOOLS,Maine,ME,2313070,,0,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,0,0.00,†
URBAN ACADEMY CHARTER SCHOOL,Minnesota,MN,2700353,,1,7-Independent Charter District,1-Open,Prekindergarten,7th Grade,437,26,16.81
URBAN ACADEMY OF GREATER PITTSBURGH CS,Pennsylvania,PA,4200019,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,322,22,14.64
URBAN ACT ACADEMY,INDIANA,IN,1800192,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,321,23.71,13.54
URBAN ASSEMBLY CHARTER SCHOOL FOR COMPUTER SCIENCE,NEW YORK,NY,3601182,,1,7-Independent Charter District,1-Open,9th Grade,11th Grade,341,34.66,9.84
URBAN CHOICE CHARTER SCHOOL,New York,NY,3600134,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,392,‡,–
URBAN COLLABORATIVE,Rhode Island,RI,4400005,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,7th Grade,8th Grade,114,12.2,9.34
URBAN DISCOVERY ACADEMY CHARTER DISTRICT,CALIFORNIA,CA,0601551,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,564,22.4,25.18
URBAN DOVE TEAM CHARTER SCHOOL,New York,NY,3601065,,1,7-Independent Charter District,5-Changed Boundary/Agency,10th Grade,12th Grade,258,24,10.75
URBAN DOVE TEAM CHARTER SCHOOL II,NEW YORK,NY,3601187,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,237,24.99,9.48
URBAN EARLY COLLEGE NETWORK,OHIO,OH,3901587,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,86,2.5,34.4
URBAN MONTESSORI CHARTER DISTRICT,CALIFORNIA,CA,0601816,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,395,11.8,33.47
URBAN PATHWAYS 6-12 CS,Pennsylvania,PA,4200018,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,313,36.65,8.54
URBAN PATHWAYS K-5 COLLEGE CS,Pennsylvania,PA,4200847,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,355,29,12.24
URBAN PREP WEST CHARTER SCHOOL,ILLINOIS,IL,1701436,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,82,–,–
URBANA CITY,Ohio,OH,3904494,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1863,106.82,17.44
URBANA SD 116,Illinois,IL,1739960,,11,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4071,–,–
URBANDALE COMM SCHOOL DISTRICT,Iowa,IA,1928680,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4072,289.99,14.04
USBE,Utah,UT,4900135,,0,5-State agency providing elementary and/or secondary level instruction,1-Open,Kindergarten,12th Grade,–,–,–
UT TYLER UNIVERSITY ACADEMY,Texas,TX,4801427,,3,7-Independent Charter District,1-Open,Kindergarten,12th Grade,827,56.94,14.52
UTA HALEE ACADEMY PROGRAM,Nebraska,NE,3100166,,1,8-Other education agencies,1-Open,†,†,–,2.03,–
UTAH ASSOCIATION OF PUBLIC CHARTER SCHOOLS,UTAH,UT,4900204,,0,4-Regional Education Service Agency (RESA),3-New,–,–,†,†,†
UTAH CAREER PATH HIGH SCHOOL,Utah,UT,4900171,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,185,–,–
UTAH CONNECTIONS ACADEMY,Utah,UT,4900151,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1243,–,–
UTAH COUNTY ACADEMY OF SCIENCE,Utah,UT,4900020,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,680,–,–
UTAH INTERNATIONAL CHARTER SCHOOL,Utah,UT,4900166,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,218,–,–
UTAH MILITARY ACADEMY,UTAH,UT,4900176,,2,7-Independent Charter District,1-Open,7th Grade,12th Grade,946,–,–
UTAH MOUNTAIN,UTAH,UT,4900201,,0,7-Independent Charter District,7-Future,–,–,†,†,†
UTAH SCHOOLS FOR DEAF & BLIND,Utah,UT,4900069,,8,5-State agency providing elementary and/or secondary level instruction,1-Open,Prekindergarten,12th Grade,276,–,–
UTAH VIRTUAL ACADEMY,Utah,UT,4900130,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,3184,–,–
UTE PASS BOCES,Colorado,CO,0800022,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,0.28,–
UTE PASS BOCES AU,Colorado,CO,0800275,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
UTICA ACADEMY OF SCIENCE CHARTER SCHOOL,New York,NY,3601084,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,741,47,15.77
UTICA CITY SCHOOL DISTRICT,New York,NY,3629370,,13,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,9679,692.52,13.98
UTICA COMMUNITY SCHOOLS,Michigan,MI,2634470,,38,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,25701,1357.39,18.93
UTICA SHALE ACADEMY OF OHIO,OHIO,OH,3901566,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,63,1.17,53.85
UTOPIA ISD,Texas,TX,4843680,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,206,19.16,10.75
UTPB STEM ACADEMY,TEXAS,TX,4801443,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,792,44.73,17.71
UVALDE CISD,Texas,TX,4843720,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4150,278.92,14.88
UWHARRIE CHARTER ACADEMY,North Carolina,NC,3700334,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1764,108.15,16.31
UXBRIDGE,Massachusetts,MA,2511850,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1639,135.1,12.13
V I T CUSD 2,Illinois,IL,1738490,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,333,–,–
V. B. GLENCOE CHARTER SCHOOL,Louisiana,LA,2200032,,1,7-Independent Charter District,1-Open,Prekindergarten,10th Grade,421,29.91,14.08
VA BEACH CITY PBLC SCHS,Virginia,VA,5103840,,87,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,65612,4354.66,15.07
VA DEPT OF MILITARY AFFAIRS,Virginia,VA,5100053,,0,5-State agency providing elementary and/or secondary level instruction,1-Open,Ungraded,Ungraded,0,†,–
VACAVILLE UNIFIED,California,CA,0640590,,16,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,12447,556.97,22.35
VAIL UNIFIED DISTRICT (4413),Arizona,AZ,0408850,,23,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,13642,669.84,20.37
VAL VERDE UNIFIED,California,CA,0691135,,23,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,19303,843.43,22.89
VALDERS AREA SCHOOL DISTRICT,Wisconsin,WI,5515210,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,969,70.38,13.77
VALDEZ CITY SCHOOL DISTRICT,Alaska,AK,0200780,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,692,55.89,12.38
VALDOSTA CITY,Georgia,GA,1305310,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,8270,569.8,14.51
VALE SD 84,Oregon,OR,4100014,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,819,58.2,14.07
VALENCE COLLEGE PREPARATORY CHARTER SCHOOL,NEW YORK,NY,3601212,,1,7-Independent Charter District,5-Changed Boundary/Agency,5th Grade,6th Grade,224,15,14.93
VALENTINE COMMUNITY SCHOOLS,Nebraska,NE,3178020,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,632,65.13,9.7
VALENTINE ELEMENTARY DISTRICT (4380),Arizona,AZ,0408880,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,88,5,17.6
VALENTINE ISD,Texas,TX,4843740,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,35,9.76,3.59
VALHALLA UNION FREE SCHOOL DISTRICT,New York,NY,3629400,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1401,142.6,9.82
VALIENTE COLLEGE PREPARATORY CHARTER DISTRICT,CALIFORNIA,CA,0602256,,1,7-Independent Charter District,1-Open,4th Grade,8th Grade,157,11,14.27
VALIER ELEM,Montana,MT,3027060,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,110,11.38,9.67
VALIER H S,Montana,MT,3027090,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,45,7.16,6.28
VALLE LINDO ELEMENTARY,California,CA,0640650,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,1005,45,22.33
VALLECITO UNION,California,CA,0640680,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,544,37.76,14.41
VALLECITOS ELEMENTARY,California,CA,0640710,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,187,10,18.7
VALLEJO CITY UNIFIED,California,CA,0640740,,20,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,11095,437.75,25.35
VALLEY,Montana,MT,3000083,105,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,0,†,–
VALLEY ACADEMY,Utah,UT,4900158,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,500,–,–
VALLEY ACADEMY,VIRGINIA,VA,5100258,,1,9-Specialized public school district,1-Open,Ungraded,Ungraded,0,†,–
VALLEY ACADEMY FOR CAREER AND TECHNOLOGY EDUCATION (79397),Arizona,AZ,0400341,,7,9-Specialized public school district,1-Open,9th Grade,12th Grade,14,3.5,4
VALLEY CENTER PUB SCH,Kansas,KS,2012510,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3048,177.25,17.2
VALLEY CENTER-PAUMA UNIFIED,California,CA,0600069,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3865,173.75,22.24
VALLEY CENTRAL SCHOOL DISTRICT (MONTGOMERY),New York,NY,3619680,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,4101,357.07,11.49
VALLEY CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CA,0601586,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,276,12,23
VALLEY CHARTER HIGH DISTRICT,CALIFORNIA,CA,0602282,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,121,9.4,12.87
VALLEY CHARTER MIDDLE DISTRICT,CALIFORNIA,CA,0602468,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,289,11.5,25.13
VALLEY CITY 2,North Dakota,ND,3818850,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1060,68.4,15.5
VALLEY COLLABORATIVE,MASSACHUSETTS,MA,2500569,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
VALLEY DISTRICT,Idaho,ID,1603270,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,547,41.76,13.1
VALLEY EDUC FOR EMPLOY SYSTEM,Illinois,IL,1700278,,0,4-Regional Education Service Agency (RESA),1-Open,9th Grade,12th Grade,–,–,–
VALLEY FALLS,Kansas,KS,2012540,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,402,31.9,12.6
VALLEY GROVE SD,Pennsylvania,PA,4224630,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,817,63.22,12.92
VALLEY HEIGHTS,Kansas,KS,2012780,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,430,38.5,11.17
